"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","FSC-A_Gain","FSC-H_Gain","FSC-W_Gain","SSC-A_Gain","SSC-H_Gain","SSC-W_Gain","B530-A_Gain","B530-H_Gain","B585-A_Gain","B585-H_Gain","B695-A_Gain","B695-H_Gain","B780-A_Gain","B780-H_Gain","R670-A_Gain","R670-H_Gain","R780-A_Gain","R780-H_Gain","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B530-A","B530-H","B585-A","B585-H","B695-A","B695-H","B780-A","B780-H","R670-A","R670-H","R780-A","R780-H","Blue_LaserDelay","Red_LaserDelay","Blue_AreaScalingFactor","Red_AreaScalingFactor"
"27-DEC-2019",2019-12-27 09:56:28,"2019-12-27","9H 56M 28S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,400,NA,440,NA,410,NA,470,NA,410,NA,380,NA,128547.4453125,65312.88671875,129192,100419.55859375,66392.69140625,99345.5,5991.68994140625,NA,6828.77978515625,NA,4964.31982421875,NA,3371.78991699219,NA,5655.26953125,NA,3280.23974609375,NA,NA,NA,NA,NA
"20-DEC-2019",2019-12-20 08:24:17,"2019-12-20","8H 24M 17S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,400,NA,440,NA,410,NA,470,NA,410,NA,380,NA,134827.1953125,65431.087890625,135150,102073.1484375,66645.125,100585,6246.57958984375,NA,7129.81982421875,NA,5526.6396484375,NA,4350.8798828125,NA,5896.3095703125,NA,4046.58984375,NA,NA,NA,NA,NA
"19-DEC-2019",2019-12-19 08:40:58,"2019-12-19","8H 40M 58S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,400,NA,440,NA,410,NA,470,NA,410,NA,380,NA,133567.203125,65307.84765625,134167,103253.875,66390.5,102173,6185.52001953125,NA,7053.1396484375,NA,5474.099609375,NA,4316.7998046875,NA,5915.9599609375,NA,4075.40991210938,NA,NA,NA,NA,NA
"18-DEC-2019",2019-12-18 08:34:54,"2019-12-18","8H 34M 54S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,400,NA,440,NA,410,NA,470,NA,410,NA,380,NA,128925.8984375,65612.31640625,129299.5,101607.38671875,66804.87890625,99823,6097.47998046875,NA,6979.2998046875,NA,5014.02001953125,NA,3332.02990722656,NA,5650.02978515625,NA,3157.09985351562,NA,NA,NA,NA,NA
"17-DEC-2019",2019-12-17 08:45:09,"2019-12-17","8H 45M 9S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,400,NA,440,NA,410,NA,470,NA,410,NA,380,NA,133365.59375,65635.0703125,133579,106210.3203125,66870.5703125,104268,6289.1796875,NA,7169.57958984375,NA,5234.11962890625,NA,3572.71997070312,NA,5732.5595703125,NA,3286.78979492188,NA,NA,NA,NA,NA
"16-DEC-2019",2019-12-16 09:04:55,"2019-12-16","9H 4M 55S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,400,NA,440,NA,410,NA,470,NA,410,NA,380,NA,127369.796875,65560.5390625,128075,104867,66422.2890625,103699,6070.5,NA,6922.5,NA,5090.69970703125,NA,3568.4599609375,NA,5805.919921875,NA,3420.40991210938,NA,NA,NA,NA,NA
"13-DEC-2019",2019-12-13 08:41:08,"2019-12-13","8H 41M 8S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,400,NA,440,NA,410,NA,470,NA,410,NA,380,NA,129948.296875,65512,130131,105403.7578125,66625.8984375,103818,6079.02001953125,NA,6929.599609375,NA,5245.47998046875,NA,3951.85986328125,NA,5867.48974609375,NA,3785.89990234375,NA,NA,NA,NA,NA
"12-DEC-2019",2019-12-12 08:34:16,"2019-12-12","8H 34M 16S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,400,NA,440,NA,410,NA,470,NA,410,NA,380,NA,133649.09375,65372.06640625,134217,107255.4375,66393.796875,106021,6265.0400390625,NA,7153.9599609375,NA,5442.85986328125,NA,4160.60009765625,NA,5932.98974609375,NA,3923.44970703125,NA,NA,NA,NA,NA
"11-DEC-2019",2019-12-11 08:34:26,"2019-12-11","8H 34M 26S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,400,NA,440,NA,410,NA,470,NA,410,NA,380,NA,131443.6484375,65743.48828125,131139,106861.38671875,67016.21875,104586,6198.2998046875,NA,7044.61962890625,NA,5384.6396484375,NA,4086.759765625,NA,5947.39990234375,NA,3928.68994140625,NA,NA,NA,NA,NA
"10-DEC-2019",2019-12-10 08:48:01,"2019-12-10","8H 48M 1S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,400,NA,440,NA,410,NA,470,NA,410,NA,380,NA,132692.390625,65521.02734375,133320,105427.8984375,66837.2734375,103610,6277.81982421875,NA,7088.6396484375,NA,5441.43994140625,NA,4129.35986328125,NA,5820.32958984375,NA,3831.74975585938,NA,NA,NA,NA,NA
