"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","FSC-A_Gain","FSC-H_Gain","FSC-W_Gain","SSC-A_Gain","SSC-H_Gain","SSC-W_Gain","B530-A_Gain","B585-A_Gain","B695-A_Gain","B780-A_Gain","R670-A_Gain","R780-A_Gain","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B530-A","B585-A","B695-A","B780-A","R670-A","R780-A","Blue_LaserDelay","Red_LaserDelay","Blue_AreaScalingFactor","Red_AreaScalingFactor"
"23-DEC-2021",2021-12-23 09:11:53,"2021-12-23","9H 11M 53S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,110655,64990.287109375,111597,99661.984375,66216.15625,98762.5,11365.6796875,10201.279296875,11784.580078125,13243.6298828125,11919.0346679688,13428.8095703125,NA,NA,NA,NA
"22-DEC-2021",2021-12-22 08:45:40,"2021-12-22","8H 45M 40S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,112800.59375,65328.37109375,113150,102220.1171875,66593.734375,100814,11700.7998046875,10502.3193359375,12143.83984375,13663.2392578125,11906.58984375,13521.8193359375,NA,NA,NA,NA
"21-DEC-2021",2021-12-21 08:13:10,"2021-12-21","8H 13M 10S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,115551.8984375,65223.9453125,116117,103986.59375,66426.640625,102734,12070,10830.33984375,12513.0400390625,14198.5791015625,12040.2099609375,13905.6494140625,NA,NA,NA,NA
"20-DEC-2021",2021-12-20 11:55:37,"2021-12-20","11H 55M 37S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,114656.3984375,65301.53125,115126,102331.5859375,66537.01953125,100934.5,11991.8994140625,10784.8994140625,12642.9697265625,14571.3295898438,12281.2490234375,14514.14453125,NA,NA,NA,NA
"15-DEC-2021",2021-12-15 08:43:43,"2021-12-15","8H 43M 43S","Unknown","2.16.0","Unknown","",530,530,530,368,368,368,433,470,460,563,444,459,112971.59375,65092.552734375,113762.5,99119.546875,66085.92578125,98422.5,11621.279296875,10517.939453125,12173.6591796875,14266.029296875,11927.5498046875,14355.6342773438,NA,NA,NA,NA
"14-DEC-2021",2021-12-14 08:02:53,"2021-12-14","8H 2M 53S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,114673.5,65353.859375,115047,102275.5,66717.1484375,100517,11821.5,10766.439453125,12659.2998046875,15192.5791015625,12255.0498046875,15227.439453125,NA,NA,NA,NA
"13-DEC-2021",2021-12-13 09:37:27,"2021-12-13","9H 37M 27S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,113778,65146.48046875,114501,101626.5546875,66258.4765625,100628,11780.3193359375,10668.4599609375,12406.5400390625,14533.69921875,12012.69921875,14540.9990234375,NA,NA,NA,NA
"10-DEC-2021",2021-12-10 11:32:25,"2021-12-10","11H 32M 25S","Unknown","FACSCantoII","V96100817","Administrator",530,530,530,368,368,368,433,470,460,563,444,459,110854.796875,64997.98046875,111812,98665.859375,65886.40625,98255,11310.2998046875,10219.7392578125,11888.2392578125,13998.359375,11928.859375,14552.7890625,0,28.69,1.42,1.31
"10-DEC-2021",2021-12-10 08:19:55,"2021-12-10","8H 19M 55S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,105589.34375,65231.87109375,106085.5,95238.49609375,65530.158203125,95339.5,10823.3994140625,9807,11496.7998046875,13701.7998046875,12224.2646484375,15127.87890625,NA,NA,NA,NA
"09-DEC-2021",2021-12-09 09:09:16,"2021-12-09","9H 9M 16S","Unknown","2.16.0","Unknown","Unknown",530,530,530,368,368,368,433,470,460,563,444,459,108231.296875,65134.251953125,108856,97924.3984375,65358.076171875,98258.5,11158,10116.3994140625,11116.6997070312,11693.5,12142.3896484375,12765.94921875,NA,NA,NA,NA
